# Averaged per day, units: EUR/MWh
%	 2473
%	 16
% Key	Time	SYS	SE1	SE2	SE3	SE4	FI	Oslo	Krsand	Bergen	Molde	Trheim	Tromse	EE	LT	
267	2013-09-24	40.5525	49.0720833333333	49.0720833333333	51.0679166666667	51.4604166666667	51.2183333333333	35.9291666666667	35.9291666666667	35.9291666666667	47.6816666666667	47.6816666666667	39.1516666666667	50.1079166666667	60.5529166666667
268	2013-09-25	42.1195833333333	49.39625	49.39625	54.1925	54.5783333333333	52.75375	37.0079166666667	37.0079166666667	37.0079166666667	46.865	46.865	39.1304166666667	51.84625	67.95875
269	2013-09-26	40.5091666666667	46.0604166666667	46.0604166666667	52.1279166666667	53.97	52.00125	37.51625	36.9633333333333	37.51625	45.2683333333333	45.2683333333333	38.5916666666667	52.00125	68.7933333333333
270	2013-09-27	39.7291666666667	42.9141666666667	42.9141666666667	44.7229166666667	48.6720833333333	45.1445833333333	38.4079166666667	37.3570833333333	38.4079166666667	42.9141666666667	42.9141666666667	42.57875	45.1445833333333	78.8033333333333
271	2013-09-28	37.95875	38.9270833333333	38.9270833333333	38.9270833333333	39.0545833333333	39.70125	37.7370833333333	37.4354166666667	37.7370833333333	38.99375	38.99375	38.99375	39.70125	66.755
272	2013-09-29	37.1516666666667	38.6004166666667	38.6004166666667	38.6004166666667	38.6004166666667	38.6004166666667	37.5058333333333	36.9683333333333	37.5058333333333	38.6004166666667	38.6004166666667	38.6004166666667	38.6004166666667	64.42375
273	2013-09-30	39.7170833333333	45.1270833333333	45.1270833333333	46.23625	46.23625	46.0745833333333	38.0154166666667	37.1866666666667	38.0154166666667	45.1270833333333	45.1270833333333	45.1270833333333	46.0745833333333	86.68375
274	2013-10-01	41.3558333333333	48.7816666666667	48.7816666666667	51.48375	52.0445833333333	51.48375	38.14625	37.2316666666667	38.14625	48.475	48.475	48.475	51.48375	126.315
275	2013-10-02	39.66375	44.0891666666667	44.0891666666667	46.0641666666667	46.1479166666667	46.0641666666667	37.85125	37.1695833333333	37.85125	44.0891666666667	44.0891666666667	44.0891666666667	46.0641666666667	70.4245833333333
276	2013-10-03	37.92625	40.4770833333333	40.4770833333333	40.4770833333333	40.4770833333333	41.4129166666667	37.8054166666667	37.1579166666667	37.8054166666667	40.4770833333333	40.4770833333333	40.4770833333333	41.4129166666667	71.72125
277	2013-10-04	37.74125	39.7008333333333	39.7008333333333	39.7008333333333	39.7008333333333	41.4566666666667	37.8641666666667	37.4041666666667	37.8641666666667	39.7008333333333	39.7008333333333	39.7008333333333	41.4566666666667	78.85125
278	2013-10-05	36.8791666666667	36.2304166666667	36.2304166666667	36.2304166666667	36.2304166666667	36.2304166666667	37.07125	37.07125	37.07125	37.4433333333333	37.4433333333333	37.4433333333333	36.9254166666667	67.2579166666667
